                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5787,                 1.2444,                 1.1282,                0.54272,                0.34641,                0.33172,                0.16262,                 1.5169,                 1.1231,                 1.0995,               0.067025,             0.00033308,             0.00033308
                      1,                 1.5129,                 1.0059,                 1.1131,                0.61006,                0.35448,                0.38651,                0.18704,                 1.4896,                0.96681,                 1.0983,               0.034019,             0.00065982,             0.00065982
                      2,                 1.4904,                0.95774,                 1.1066,                0.61866,                0.40214,                0.43072,                0.21818,                 1.4611,                0.97437,                 1.0894,              0.0010053,             0.00097995,             0.00097995
                      3,                  1.466,                0.92103,                  1.094,                0.73653,                0.41634,                0.47361,                0.23723,                 1.4579,                0.94632,                 1.0885,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.4457,                0.89665,                 1.0873,                0.69168,                0.44422,                0.49281,                0.25521,                  1.434,                0.88872,                 1.0759,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.431,                0.87412,                 1.0792,                0.68658,                0.46594,                0.52576,                0.28113,                 1.3992,                0.82603,                 1.0657,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.4194,                0.85887,                 1.0775,                0.68671,                0.48046,                0.51905,                0.27288,                 1.3877,                0.84262,                 1.0631,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.4103,                0.85138,                 1.0755,                0.71936,                0.47751,                0.53574,                0.28133,                 1.3809,                0.83761,                 1.0618,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.4042,                 0.8373,                 1.0703,                0.63336,                0.48872,                0.53828,                 0.2843,                 1.3701,                0.81655,                 1.0567,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.3931,                0.82555,                 1.0657,                0.74312,                0.50488,                0.58167,                0.31116,                 1.3598,                0.77903,                 1.0476,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.3829,                0.81874,                 1.0636,                0.76034,                0.51657,                0.57975,                0.30522,                 1.3517,                0.77208,                 1.0491,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.3795,                0.81146,                 1.0626,                0.75048,                 0.5072,                0.57688,                0.30872,                 1.3524,                0.79009,                 1.0477,               0.000901,               0.000901,               0.000901
                     12,                 1.3705,                 0.8042,                 1.0586,                0.74369,                0.51766,                0.58081,                0.30716,                 1.3362,                0.76387,                 1.0414,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.3637,                0.79314,                  1.057,                0.77497,                0.52895,                0.60678,                0.32602,                 1.3372,                0.75177,                 1.0369,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.3578,                0.79166,                 1.0546,                0.80791,                0.51093,                0.61495,                0.33441,                 1.3238,                0.74961,                 1.0346,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.3531,                0.78443,                 1.0513,                0.78581,                0.54325,                0.62211,                0.33972,                 1.3161,                0.73877,                 1.0334,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.3499,                0.77982,                 1.0493,                 0.7999,                 0.5302,                0.62366,                0.34013,                 1.3068,                0.74945,                 1.0276,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.3428,                0.77452,                 1.0481,                0.78559,                0.55295,                0.65166,                0.35468,                 1.2974,                0.73806,                 1.0247,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.3396,                0.77029,                 1.0471,                0.85118,                0.53931,                  0.635,                0.35014,                 1.2948,                0.72951,                 1.0243,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.3354,                0.76592,                 1.0446,                0.82672,                0.55124,                0.64705,                0.35391,                 1.2907,                0.72253,                 1.0226,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.3292,                0.76196,                 1.0429,                0.81002,                0.55438,                 0.6493,                0.36104,                 1.2863,                0.71199,                  1.022,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.3287,                 0.7592,                 1.0436,                0.84065,                0.54854,                0.66354,                0.36542,                 1.2816,                0.70012,                 1.0177,               0.000802,               0.000802,               0.000802
                     22,                 1.3207,                0.75115,                 1.0386,                0.83242,                0.56459,                0.66736,                0.36665,                  1.277,                 0.7031,                 1.0174,              0.0007921,              0.0007921,              0.0007921
                     23,                  1.318,                0.74893,                 1.0406,                0.80818,                0.57664,                0.65856,                0.36378,                 1.2763,                0.70671,                 1.0175,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.3141,                0.74458,                 1.0377,                0.83001,                0.58579,                0.67692,                0.37821,                 1.2672,                0.70316,                 1.0139,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.3094,                0.73703,                 1.0351,                0.81876,                0.58551,                0.66483,                0.36955,                 1.2632,                0.68638,                 1.0105,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.3056,                0.73975,                 1.0351,                 0.8255,                0.57707,                0.69043,                0.38026,                 1.2615,                0.68767,                 1.0103,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.3008,                0.73431,                 1.0331,                0.82984,                0.59146,                0.69205,                0.38394,                 1.2593,                0.67377,                   1.01,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.2959,                0.72953,                 1.0297,                0.81172,                0.58677,                 0.6998,                0.38625,                 1.2534,                0.68192,                 1.0081,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.2971,                0.72921,                 1.0317,                0.84718,                0.57851,                0.69385,                0.38509,                 1.2519,                0.67603,                 1.0068,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.2927,                0.72569,                 1.0287,                0.85338,                0.57849,                0.68769,                0.38566,                 1.2479,                0.66788,                 1.0054,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.2898,                0.72344,                 1.0276,                0.84547,                0.59132,                0.68583,                0.38339,                 1.2441,                0.66632,                 1.0046,               0.000703,               0.000703,               0.000703
                     32,                 1.2867,                0.72049,                 1.0284,                0.84364,                0.59558,                0.69144,                 0.3883,                 1.2436,                0.66741,                 1.0041,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.2812,                0.71601,                 1.0247,                0.85404,                0.59888,                0.68689,                0.38755,                 1.2394,                0.66957,                 1.0028,              0.0006832,              0.0006832,              0.0006832
                     34,                  1.282,                0.71721,                 1.0266,                0.84511,                 0.5985,                0.68741,                0.38856,                 1.2373,                0.66766,                 1.0027,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.2784,                0.71192,                  1.022,                0.84056,                0.60335,                0.68716,                0.38939,                  1.233,                0.67125,                 1.0009,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.2728,                0.71066,                 1.0225,                0.84128,                0.60738,                0.68476,                0.38989,                 1.2311,                0.66874,                 0.9996,              0.0006535,              0.0006535,              0.0006535
                     37,                  1.272,                 0.7062,                 1.0226,                0.84652,                0.60932,                0.68644,                0.39184,                 1.2308,                0.66233,                0.99934,              0.0006436,              0.0006436,              0.0006436
                     38,                  1.269,                0.70319,                 1.0206,                0.84685,                0.60748,                0.68792,                0.39195,                 1.2277,                0.65945,                0.99843,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.2685,                0.70245,                 1.0206,                0.83468,                  0.609,                0.68773,                0.39404,                 1.2256,                0.66003,                0.99774,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.2594,                0.69738,                 1.0179,                 0.8501,                0.60562,                 0.6886,                0.39577,                 1.2224,                 0.6579,                0.99646,              0.0006139,              0.0006139,              0.0006139
                     41,                  1.259,                0.69633,                  1.018,                0.84758,                0.60941,                 0.6878,                0.39609,                 1.2207,                 0.6584,                0.99584,               0.000604,               0.000604,               0.000604
                     42,                 1.2578,                0.69655,                 1.0164,                0.84211,                0.61197,                0.68802,                0.39691,                 1.2202,                0.65596,                0.99551,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.2527,                0.69125,                 1.0138,                0.83714,                0.61897,                0.68979,                 0.3981,                 1.2189,                0.65264,                0.99486,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.2498,                0.68785,                  1.013,                0.84378,                0.61231,                0.68873,                0.39872,                 1.2172,                0.64987,                0.99418,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.2417,                0.68016,                 1.0095,                0.84113,                0.61577,                0.68896,                0.39898,                 1.2161,                0.65002,                 0.9935,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.2433,                0.68342,                 1.0108,                0.84279,                0.61527,                0.69063,                0.40013,                 1.2154,                0.64976,                0.99297,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.2474,                0.68611,                  1.014,                0.84643,                0.61752,                0.69227,                0.40084,                 1.2144,                0.64984,                0.99279,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.2423,                0.68108,                  1.009,                0.85157,                0.61395,                0.69271,                 0.4013,                 1.2134,                0.64882,                0.99236,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.2397,                0.68059,                 1.0095,                0.85795,                0.61241,                0.69305,                 0.4013,                 1.2125,                0.64703,                0.99207,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.2361,                0.67525,                  1.007,                0.85387,                0.61201,                0.69323,                0.40171,                 1.2113,                0.64536,                0.99196,              0.0005149,              0.0005149,              0.0005149
